WINDOW,001100001011000100
STUDY,001100110011000100
EVERYBODY,001100010011000100
FEET,001100100011000100
DREW,001100000011000100
PAVLOVNA,001100100101000100
LED,001100000101000100
PALE,001100111000000100
BESIDES,001100011000000100
FREEDOM,001100101000000100
WHOSE,001100001000000100
ORDERED,001100000101111000
SHOWED,001100111001111000
FEAR,001100011001111000
SHOW,001100110001111000
HUSSARS,001100010001111000
HUMAN,001100110001011000
RED,001100010001011000
NEED,001100100001011000
HANDSOME,001100000001011000
GIVING,001100000110011000
MAKING,001100111100011000
HES,001100011100011000
ABLE,001100101100011000
ANGRY,001100001100011000
SHOULDERS,001100110100011000
COMPANY,001100010100011000
MEET,001100100100011000
REST,001100000100011000
ACTIVITY,001100100100101000
BEYOND,001100000100101000
ASKING,001100111011001000
BORODINO,001100011011001000
GROUND,001100101011001000
IM,001100001011001000
SILENCE,001100111001001000
MANS,001100011001001000
CLOSE,001100101001001000
RAISED,001100001001001000
LATE,001100100110001000
COLONEL,001100010001110000
RUNNING,001100110111010000
ROSTOPCHIN,001100010111010000
TURN,001100111101010000
SHOUTING,001100011101010000
STRAIGHT,001100101101010000
CHILDREN,001100001101010000
CONSIDERED,001100110101010000
ATTACK,001100010101010000
FOUR,001100100101010000
CAMPAIGN,001100011101100000
MAMMA,001100101101100000
REMEMBERED,001100001101100000
DRESS,001100100101100000
SMOLENSK,001100110100100000
GUNS,001100010100100000
LEGS,001100100100100000
FATHERS,001100000100100000
CAPTAIN,001100100110000000
OUGHT,001100000110000000
AIM,001100111010000000
NAPOLEONS,001100011010000000
RUN,001100101010000000
HOWEVER,001100001010000000
COUNTRY,001100110010000000
CHILD,001100010010000000
DECIDED,001100100010000000
PROJECT,001100000010000000
GALLOPED,0011010111011111111
BUSINESS,0011011011011111111
BODY,0011010011011111111
WAIT,0011011101011111111
THIN,0011010101011111111
QUESTIONS,0011011001101111111
RETURN,0011010001101111111
TEN,0011011010101111111
OPEN,0011010010101111111
TOMORROW,0011011111010111111
UPON,0011010111010111111
UNABLE,0011011101010111111
CARRIED,0011011010100011111
ANDREWS,0011010010100011111
CHANGED,0011011100100011111
NEITHER,0011010100100011111
BALASHV,0011011001111101111
FLANK,0011010001111101111
LAWS,0011011101011101111
RAPIDLY,0011010101011101111
CRY,0011011001011101111
LAUGHING,0011010001011101111
FRENCHMAN,0011011111101101111
MEANING,0011010111101101111
TALKED,0011011011101101111
CASE,0011010011101101111
UNIFORM,0011011101101101111
STRUCK,0011010110110101111
FRESH,0011011010110101111
INTERRUPTED,0011010010110101111
GUARDS,0011011100110101111
WROTE,0011010100110101111
ARRIVED,0011010111111001111
